seed,cw_alpha,ec1,ec2,ec3,ec4,ec5,ec6,bm,cw_stress_volume,cw_ec_volume,cw_ec_volume_red,cw_fullcov,cw_redcov,cw_cwfullcov,cw_cwredcov,cw_Mvol,cw_Mcov
254.0,0.5,0.4671636760516793,-0.13977181688697315,-0.1395451701096535,-0.00024565679124233936,0.0005652471933415215,-0.05886939912574135,0.06269144527745751,29035.518668484267,0.15310178032822563,0.7205294247744737,1.0,1.0,6.0,3.0,0.299734263223382,1.0
254.0,0.55,0.4671636760516793,-0.13977181688697315,-0.1395451701096535,-0.00024565679124233936,0.0005652471933415215,-0.05886939912574135,0.06269144527745751,42027.27039085042,0.15789330200792032,0.7430793412565903,1.0,1.0,6.0,3.0,0.30911484140675255,1.0
254.0,0.6,0.4671636760516793,-0.13977181688697315,-0.1395451701096535,-0.00024565679124233936,0.0005652471933415215,-0.05886939912574135,0.06269144527745751,45062.330897731816,0.15881343753603855,0.7474096940543713,1.0,1.0,6.0,3.0,0.3109162322461988,1.0
254.0,0.65,0.4671636760516793,-0.13977181688697315,-0.1395451701096535,-0.00024565679124233936,0.0005652471933415215,-0.05886939912574135,0.06269144527745751,48197.03320590054,0.15970596378945184,0.7516101117542128,1.0,1.0,6.0,3.0,0.3126635711628385,1.0
254.0,0.7,0.4671636760516793,-0.13977181688697315,-0.1395451701096535,-0.00024565679124233936,0.0005652471933415215,-0.05886939912574135,0.06269144527745751,58615.3322591806,0.16233183991877595,0.7639680413154156,1.0,1.0,6.0,3.0,0.3178043673394179,1.0
254.0,0.75,0.4671636760516793,-0.13977181688697315,-0.1395451701096535,-0.00024565679124233936,0.0005652471933415215,-0.05886939912574135,0.06269144527745751,66106.83641782035,0.16396707134514962,0.7716637869592101,1.0,1.0,6.0,3.0,0.3210057336836436,1.0
254.0,0.8,0.4671636760516793,-0.13977181688697315,-0.1395451701096535,-0.00024565679124233936,0.0005652471933415215,-0.05886939912574135,0.06269144527745751,323131.47637281544,0.18714765108104203,0.8807565078095779,1.0,1.0,6.0,3.0,0.36638740052862195,1.0
254.0,0.85,0.4671636760516793,-0.13977181688697315,-0.1395451701096535,-0.00024565679124233936,0.0005652471933415215,-0.05886939912574135,0.06269144527745751,651254.7161201824,0.1984032043145829,0.9337275266931937,1.0,1.0,6.0,3.0,0.3884229049387882,1.0
254.0,0.9,0.4671636760516793,-0.13977181688697315,-0.1395451701096535,-0.00024565679124233936,0.0005652471933415215,-0.05886939912574135,0.06269144527745751,681500.8656016719,0.19915519650625704,0.9372665613153923,1.0,1.0,6.0,3.0,0.38989511398193555,1.0
254.0,0.95,0.4671636760516793,-0.13977181688697315,-0.1395451701096535,-0.00024565679124233936,0.0005652471933415215,-0.05886939912574135,0.06269144527745751,1.619627514391576e8,0.3141863917648408,1.4786277445302376,1.0,1.0,6.0,3.0,0.615096875088956,1.0
5.0,0.4,0.2819456723916045,-0.1767336463164344,-0.17289367657850696,-0.007748778303291671,-0.006382137558289327,-0.026368785654415916,-0.02128022692180309,1.4882700043536447e7,0.28664926775494753,1.0958592302598094,1.0,1.0,6.0,3.0,0.47910974231850406,1.0
5.0,0.45,0.2819456723916045,-0.1767336463164344,-0.17289367657850696,-0.007748778303291671,-0.006382137558289327,-0.026368785654415916,-0.02128022692180309,1.586360026084124e7,0.2881780107241784,1.1017036097227242,1.0,1.0,6.0,3.0,0.4816649054828685,1.0
5.0,0.5,0.2819456723916045,-0.1767336463164344,-0.17289367657850696,-0.007748778303291671,-0.006382137558289327,-0.026368785654415916,-0.02128022692180309,2.9522692451516643e7,0.30348718417668685,1.160230530677296,1.0,1.0,6.0,3.0,0.5072528799625764,1.0
5.0,0.55,0.2819456723916045,-0.1767336463164344,-0.17289367657850696,-0.007748778303291671,-0.006382137558289327,-0.026368785654415916,-0.02128022692180309,4.349244683261768e7,0.31344536058713807,1.1983006071209505,1.0,1.0,6.0,3.0,0.5238971204008678,1.0
5.0,0.6,0.2819456723916045,-0.1767336463164344,-0.17289367657850696,-0.007748778303291671,-0.006382137558289327,-0.026368785654415916,-0.02128022692180309,4.890092389728576e7,0.31652191262655743,1.2100622556895235,1.0,1.0,6.0,3.0,0.5290393140871806,1.0
5.0,0.65,0.2819456723916045,-0.1767336463164344,-0.17289367657850696,-0.007748778303291671,-0.006382137558289327,-0.026368785654415916,-0.02128022692180309,4.977467118161745e7,0.316989389874161,1.2118494197061453,1.0,1.0,6.0,3.0,0.529820662336884,1.0
5.0,0.7,0.2819456723916045,-0.1767336463164344,-0.17289367657850696,-0.007748778303291671,-0.006382137558289327,-0.026368785654415916,-0.02128022692180309,6.159734937736243e7,0.32266921164426254,1.2335633600965932,1.0,1.0,6.0,3.0,0.5393139987964585,1.0
5.0,0.75,0.2819456723916045,-0.1767336463164344,-0.17289367657850696,-0.007748778303291671,-0.006382137558289327,-0.026368785654415916,-0.02128022692180309,8.263853349644963e7,0.33066831026033333,1.264143888422497,1.0,1.0,6.0,3.0,0.5526838082041082,1.0
5.0,0.8,0.2819456723916045,-0.1767336463164344,-0.17289367657850696,-0.007748778303291671,-0.006382137558289327,-0.026368785654415916,-0.02128022692180309,1.553946486356718e8,0.34853550901310126,1.332450131886708,1.0,1.0,6.0,3.0,0.5825473032600602,1.0
5.0,0.85,0.2819456723916045,-0.1767336463164344,-0.17289367657850696,-0.007748778303291671,-0.006382137558289327,-0.026368785654415916,-0.02128022692180309,2.3845138621089637e8,0.3611968994263706,1.3808545867837143,1.0,1.0,6.0,3.0,0.603709734777176,1.0
5.0,0.9,0.2819456723916045,-0.1767336463164344,-0.17289367657850696,-0.007748778303291671,-0.006382137558289327,-0.026368785654415916,-0.02128022692180309,4.875931473542118e8,0.38338238851569517,1.4656696403395069,1.0,1.0,6.0,3.0,0.6407908829135218,1.0
5.0,0.95,0.2819456723916045,-0.1767336463164344,-0.17289367657850696,-0.007748778303291671,-0.006382137558289327,-0.026368785654415916,-0.02128022692180309,2.9494922897656755e9,0.4454233344605835,1.7028519774870692,1.0,1.0,6.0,3.0,0.7444870195115846,1.0
255.0,0.4,0.4256357611305096,-0.1416968899563299,-0.14248159782075853,-0.00195692076394099,-0.0020464514841050502,0.051578461612590776,0.04689118849633089,1.1902008929908443e6,0.2061297092032394,0.8969242698510984,1.0,1.0,6.0,3.0,0.3895005352832895,1.0
255.0,0.45,0.4256357611305096,-0.1416968899563299,-0.14248159782075853,-0.00195692076394099,-0.0020464514841050502,0.051578461612590776,0.04689118849633089,1.2852402842192503e6,0.20745357757875565,0.9026847673586076,1.0,1.0,6.0,3.0,0.3920021030723352,1.0
255.0,0.5,0.4256357611305096,-0.1416968899563299,-0.14248159782075853,-0.00195692076394099,-0.0020464514841050502,0.051578461612590776,0.04689118849633089,1.5488099398989545e6,0.21070365951638645,0.9168267238001782,1.0,1.0,6.0,3.0,0.3981434237937147,1.0
255.0,0.55,0.4256357611305096,-0.1416968899563299,-0.14248159782075853,-0.00195692076394099,-0.0020464514841050502,0.051578461612590776,0.04689118849633089,1.794585890999139e6,0.21330576275553237,0.92814915547133,1.0,1.0,6.0,3.0,0.40306033076664594,1.0
255.0,0.6,0.4256357611305096,-0.1416968899563299,-0.14248159782075853,-0.00195692076394099,-0.0020464514841050502,0.051578461612590776,0.04689118849633089,1.8422724730522917e6,0.2137724443682417,0.9301798092104254,1.0,1.0,6.0,3.0,0.4039421674444336,1.0
