seed,cw_alpha,ec1,ec2,ec3,ec4,ec5,ec6,bm,cw_stress_volume,cw_ec_volume,cw_ec_volume_red,cw_fullcov,cw_redcov,cw_cwfullcov,cw_cwredcov,cw_Mvol,cw_Mcov,mv_stress_volume,mv_ec_volume,mv_ec_volume_red,mv_fullcov,mv_redcov,mv_cwfullcov,mv_cwredcov,cw_fullcov_upper,cw_redcov_upper,mv_Mvol,mv_Mcov
3.0,0.75,0.698238060875938,-0.18841974848563547,-0.18842084002160975,-0.0032781827690020167,-0.0047547904739569215,0.05349142461370998,0.1071324602775729,453.5656849885686,0.11132862178877485,0.4303333423030065,0.0,0.0,4.0,2.0,0.18730215962431887,0.0,0.5111305792625443,0.11110520247920795,0.6062930897696194,0.0,0.0,3.0,1.0,5.0,2.0,0.5258005170355037,1.0
3.0,0.8,0.698238060875938,-0.18841974848563547,-0.18842084002160975,-0.0032781827690020167,-0.0047547904739569215,0.05349142461370998,0.1071324602775729,944.2848546281549,0.11834377054072726,0.4574499306580494,0.0,0.0,4.0,2.0,0.19910462776067575,0.0,0.6618033183975969,0.11352307635529932,0.6194872534118029,0.0,0.0,3.0,1.0,6.0,3.0,0.5372429995278366,1.0
3.0,0.85,0.698238060875938,-0.18841974848563547,-0.18842084002160975,-0.0032781827690020167,-0.0047547904739569215,0.05349142461370998,0.1071324602775729,1719.2360268375437,0.12440316858779901,0.48087212858023387,0.0,0.0,4.0,2.0,0.20929911613216798,0.0,0.9559153620606557,0.11705546465304646,0.6387632420020577,0.0,0.0,3.0,1.0,6.0,3.0,0.5539598728324256,1.0
3.0,0.9,0.698238060875938,-0.18841974848563547,-0.18842084002160975,-0.0032781827690020167,-0.0047547904739569215,0.05349142461370998,0.1071324602775729,2799.002544492437,0.12955984644539267,0.5008049219803755,0.0,0.0,4.0,2.0,0.21797484465278794,1.0,1.4181266925927802,0.12096683721694178,0.6601073204438209,0.0,0.0,3.0,1.0,6.0,3.0,0.572470272620406,1.0
3.0,0.95,0.698238060875938,-0.18841974848563547,-0.18842084002160975,-0.0032781827690020167,-0.0047547904739569215,0.05349142461370998,0.1071324602775729,38538.64563987033,0.16120488106803357,0.6231266870184163,0.0,0.0,5.0,2.0,0.271215271337066,1.0,3.3923949241922524,0.1300865133220359,0.7098727362846355,0.0,1.0,4.0,2.0,6.0,3.0,0.6156287413892483,1.0
253.0,0.4,0.13377718859735543,-0.021586552304896423,-0.019518599664720915,-0.0017276510682863193,-0.0012919716759975412,0.10635136633691589,0.03158032975597125,0.1921662885446969,0.05646096468638767,0.24997160877577765,0.0,0.0,4.0,2.0,0.10977817618861238,1.0,0.04461566856125197,0.10149265453109654,0.553109780156738,1.0,1.0,4.0,2.0,6.0,3.0,0.4594770974474088,1.0
253.0,0.45,0.13377718859735543,-0.021586552304896423,-0.019518599664720915,-0.0017276510682863193,-0.0012919716759975412,0.10635136633691589,0.03158032975597125,0.6375438198430253,0.06239517838367651,0.27624436116267015,0.0,0.0,4.0,2.0,0.12131618586344373,1.0,0.056805625842651926,0.10355631953369039,0.5643562422891492,1.0,1.0,4.0,2.0,6.0,3.0,0.4688197125349381,1.0
253.0,0.5,0.13377718859735543,-0.021586552304896423,-0.019518599664720915,-0.0017276510682863193,-0.0012919716759975412,0.10635136633691589,0.03158032975597125,1.1845738685984464,0.06570100905869625,0.2908803812300748,0.0,0.0,4.0,2.0,0.12774377817093985,1.0,0.06779439413613941,0.10509373083840506,0.5727347523664539,1.0,1.0,4.0,2.0,6.0,3.0,0.47577987420512785,1.0
253.0,0.55,0.13377718859735543,-0.021586552304896423,-0.019518599664720915,-0.0017276510682863193,-0.0012919716759975412,0.10635136633691589,0.03158032975597125,2.5832513683727063,0.07011147163176192,0.31040697683392915,0.0,0.0,5.0,2.0,0.13631912823994102,1.0,0.08376481961431435,0.1069627268223597,0.5829203166575349,1.0,1.0,4.0,2.0,6.0,3.0,0.4842411845710441,1.0
253.0,0.6,0.13377718859735543,-0.021586552304896423,-0.019518599664720915,-0.0017276510682863193,-0.0012919716759975412,0.10635136633691589,0.03158032975597125,4.342812779397656,0.07321321070841035,0.3241394150113347,0.0,0.0,5.0,2.0,0.14234990119500368,1.0,0.10719418259794186,0.10918381439988827,0.5950246927563909,1.0,1.0,4.0,2.0,6.0,3.0,0.49429648244471075,1.0
