seed,cw_alpha,ec1,ec2,ec3,ec4,ec5,ec6,bm,cw_energy_volume,cw_ec_volume,cw_ec_volume_red,cw_fullcov,cw_redcov,cw_cwfullcov,cw_cwredcov,cw_Mvol,cw_Mcov,mv_energy_volume,mv_ec_volume,mv_ec_volume_red,mv_fullcov,mv_redcov,mv_cwfullcov,mv_cwredcov,mv_cwfullcov_upper,mv_cwredcov_upper,mv_Mvol,mv_Mcov
3.0,0.8,-1.377003885529498,-1.2105844148683733,-1.2109491167764586,0.0006334688034240951,0.0005690187635888383,-0.08509741649996622,-1.2663003730274716,1.1400034060136167e-10,0.38758314567229696,0.5482592406895898,0.0,0.0,3.0,1.0,0.5003566241587939,0.0,2.254410913601689e-25,0.11315870519988414,1.4475326586011263,0.0,0.0,4.0,2.0,4.0,2.0,2.3398212843032415,0.0
3.0,0.85,-1.377003885529498,-1.2105844148683733,-1.2109491167764586,0.0006334688034240951,0.0005690187635888383,-0.08509741649996622,-1.2663003730274716,3.67114407417842e-9,0.44791319163584786,0.6335996523149984,0.0,0.0,3.0,1.0,0.5782406561935358,0.0,3.6908369430608353e-25,0.1155070414978344,1.477572711451298,0.0,0.0,4.0,2.0,4.0,2.0,2.388378637826685,0.0
3.0,0.9,-1.377003885529498,-1.2105844148683733,-1.2109491167764586,0.0006334688034240951,0.0005690187635888383,-0.08509741649996622,-1.2663003730274716,3.858696759628128e-6,0.5985431810235482,0.8466746648094964,0.0,0.0,3.0,1.0,0.7726988358864919,0.0,6.100813251907163e-25,0.11795130403529815,1.5088398582688953,0.0,0.0,4.0,2.0,4.0,2.0,2.4389194910423555,0.0
3.0,0.95,-1.377003885529498,-1.2105844148683733,-1.2109491167764586,0.0006334688034240951,0.0005690187635888383,-0.08509741649996622,-1.2663003730274716,0.01113196088569254,0.8341950592766647,1.1800181584075564,0.0,0.0,3.0,1.0,1.0769173747883405,0.0,2.0160257422941554e-24,0.12397447017230705,1.5858885455625507,0.0,0.0,4.0,2.0,6.0,3.0,2.5634625591286646,1.0
4.0,0.4,-0.32686055842617545,0.09121711109462277,0.08858607496710169,-0.0007352798530804251,-0.00012496009170450615,0.1847171253125568,-0.04989580283065731,4.636774811122536e-21,0.10003816619837562,0.14146978406658892,0.0,0.0,2.0,0.0,0.11065561547109108,1.0,6.3397966468117815e-28,0.0711819136541677,0.6566965293443343,0.0,0.0,4.0,2.0,6.0,3.0,0.94236399696106,1.0
4.0,0.45,-0.32686055842617545,0.09121711109462277,0.08858607496710169,-0.0007352798530804251,-0.00012496009170450615,0.1847171253125568,-0.04989580283065731,2.979334176786688e-19,0.11898576924077607,0.16826469057929305,0.0,0.0,2.0,0.0,0.1316142031385326,1.0,1.0315588924566252e-27,0.07264049113602931,0.6701527954229893,0.0,0.0,4.0,2.0,6.0,3.0,0.9616738305286484,1.0
4.0,0.5,-0.32686055842617545,0.09121711109462277,0.08858607496710169,-0.0007352798530804251,-0.00012496009170450615,0.1847171253125568,-0.04989580283065731,1.9045172168413826e-18,0.12854773421861065,0.18178682090287446,0.0,0.0,2.0,0.0,0.1421910175679086,1.0,1.3968841562845585e-27,0.07356392117791336,0.6786720002668457,0.0,0.0,4.0,2.0,6.0,3.0,0.9738989475634564,1.0
4.0,0.55,-0.32686055842617545,0.09121711109462277,0.08858607496710169,-0.0007352798530804251,-0.00012496009170450615,0.1847171253125568,-0.04989580283065731,5.1774543333623304e-17,0.14751229961794482,0.20860571487020593,0.0,0.0,2.0,0.0,0.16316836787482739,1.0,2.098180216547387e-27,0.07482153899345714,0.690274290965599,0.0,0.0,4.0,2.0,6.0,3.0,0.9905483138204977,1.0
4.0,0.6,-0.32686055842617545,0.09121711109462277,0.08858607496710169,-0.0007352798530804251,-0.00012496009170450615,0.1847171253125568,-0.04989580283065731,1.56424629654107e-15,0.1700210794659861,0.24043668844473448,0.0,0.0,2.0,0.0,0.18806609423507675,1.0,2.74301363887959e-27,0.07566168682533139,0.6980251666727131,0.0,0.0,4.0,2.0,6.0,3.0,1.0016708733056174,1.0
4.0,0.65,-0.32686055842617545,0.09121711109462277,0.08858607496710169,-0.0007352798530804251,-0.00012496009170450615,0.1847171253125568,-0.04989580283065731,3.615223241402721e-14,0.19378895399684076,0.27404822097656917,0.0,0.0,3.0,0.0,0.21435654801484724,1.0,5.171078963215249e-27,0.07768712854909024,0.7167111008110368,0.0,1.0,5.0,2.0,6.0,3.0,1.028485316194669,1.0
4.0,0.7,-0.32686055842617545,0.09121711109462277,0.08858607496710169,-0.0007352798530804251,-0.00012496009170450615,0.1847171253125568,-0.04989580283065731,2.094274966951584e-13,0.20850499305185932,0.29485902695736455,0.0,0.0,4.0,1.0,0.23063445894436732,1.0,7.70742230438638e-27,0.07898980994428925,0.7287291304923527,0.0,1.0,6.0,3.0,6.0,3.0,1.0457312707261923,1.0
4.0,0.75,-0.32686055842617545,0.09121711109462277,0.08858607496710169,-0.0007352798530804251,-0.00012496009170450615,0.1847171253125568,-0.04989580283065731,5.391280269109794e-12,0.23872279179761044,0.33759177212836183,0.0,0.0,5.0,2.0,0.2640593931016165,1.0,1.1674331617021866e-26,0.08036825185648344,0.7414460971088813,0.0,1.0,6.0,3.0,6.0,3.0,1.0639802045250926,1.0
4.0,0.8,-0.32686055842617545,0.09121711109462277,0.08858607496710169,-0.0007352798530804251,-0.00012496009170450615,0.1847171253125568,-0.04989580283065731,1.8080723571362064e-10,0.276348671093319,0.3908007144906605,0.0,0.0,5.0,2.0,0.30567865692190055,1.0,1.9271596943232586e-26,0.08206439240930191,0.7570940272801275,1.0,1.0,6.0,3.0,6.0,3.0,1.0864350910082996,1.0
4.0,0.85,-0.32686055842617545,0.09121711109462277,0.08858607496710169,-0.0007352798530804251,-0.00012496009170450615,0.1847171253125568,-0.04989580283065731,3.708583085191136e-9,0.313417846637158,0.44322238972723166,0.0,0.0,5.0,2.0,0.3466821318024309,1.0,3.0473967867653267e-26,0.08364633096297279,0.7716883744183466,1.0,1.0,6.0,3.0,6.0,3.0,1.1073780786557916,1.0
4.0,0.9,-0.32686055842617545,0.09121711109462277,0.08858607496710169,-0.0007352798530804251,-0.00012496009170450615,0.1847171253125568,-0.04989580283065731,2.0871866695872636e-8,0.3368126872591294,0.476306393331411,0.0,0.0,5.0,2.0,0.3725599600978717,1.0,8.86081839366871e-26,0.08745029198833296,0.8067822328843007,1.0,1.0,6.0,3.0,6.0,3.0,1.1577380048240955,1.0
4.0,0.95,-0.32686055842617545,0.09121711109462277,0.08858607496710169,-0.0007352798530804251,-0.00012496009170450615,0.1847171253125568,-0.04989580283065731,8.694771147740854e-7,0.39343755427302884,0.556382908262427,1.0,1.0,6.0,3.0,0.43519464992181883,1.0,2.0512119945762629e-25,0.09056289427061058,0.8354978856543535,1.0,1.0,6.0,3.0,6.0,3.0,1.1989451623322238,1.0
5.0,0.4,-0.8441267667773622,0.09907570953678607,0.08448573910649793,-0.00023119102598125908,8.67711519969501e-6,0.07227385789689178,-0.2250514295214554,1.779005895585214e-19,0.12604082323955676,0.17543083277985938,0.0,0.0,2.0,0.0,0.12587568320114428,0.0,8.177628490850657e-24,0.11641489525416489,0.9025633580052308,0.0,1.0,6.0,3.0,6.0,3.0,1.2558456587287188,1.0
5.0,0.45,-0.8441267667773622,0.09907570953678607,0.08448573910649793,-0.00023119102598125908,8.67711519969501e-6,0.07227385789689178,-0.2250514295214554,1.2990688819693267e-18,0.1369268174635226,0.1905825826912144,0.0,0.0,2.0,0.0,0.1367474144787242,0.0,1.1314094203366192e-23,0.11800033374387092,0.9148552445722861,0.0,1.0,6.0,3.0,6.0,3.0,1.2729488484892006,1.0
5.0,0.5,-0.8441267667773622,0.09907570953678607,0.08448573910649793,-0.00023119102598125908,8.67711519969501e-6,0.07227385789689178,-0.2250514295214554,1.7487970688731777e-17,0.1525930132155161,0.212387690723879,0.0,0.0,3.0,1.0,0.15239308421302153,0.0,1.6871457862649928e-23,0.11998135708610211,0.9302140959988776,0.0,1.0,6.0,3.0,6.0,3.0,1.2943194777265479,1.0
5.0,0.55,-0.8441267667773622,0.09907570953678607,0.08448573910649793,-0.00023119102598125908,8.67711519969501e-6,0.07227385789689178,-0.2250514295214554,1.1325409251307098e-16,0.16494510029779536,0.2295800325994558,0.0,0.0,4.0,1.0,0.1647289874583279,0.0,1.9855512827485896e-23,0.12079829111942755,0.9365477762618473,0.0,1.0,6.0,3.0,6.0,3.0,1.3031322937925651,1.0
5.0,0.6,-0.8441267667773622,0.09907570953678607,0.08448573910649793,-0.00023119102598125908,8.67711519969501e-6,0.07227385789689178,-0.2250514295214554,2.529715050352057e-15,0.18773640195177746,0.2613022708912176,0.0,0.0,4.0,1.0,0.18749042770444324,0.0,2.443014931692484e-23,0.12184638983908892,0.9446736737071288,0.0,1.0,6.0,3.0,6.0,3.0,1.3144388385790553,1.0
5.0,0.65,-0.8441267667773622,0.09907570953678607,0.08448573910649793,-0.00023119102598125908,8.67711519969501e-6,0.07227385789689178,-0.2250514295214554,5.022155019225799e-13,0.23404045193263018,0.3257508982520699,0.0,0.0,5.0,2.0,0.23373380962239423,0.0,3.445141976426351e-23,0.12360405194426144,0.9583008080048446,0.0,1.0,6.0,3.0,6.0,3.0,1.333399920144035,1.0
5.0,0.7,-0.8441267667773622,0.09907570953678607,0.08448573910649793,-0.00023119102598125908,8.67711519969501e-6,0.07227385789689178,-0.2250514295214554,5.6869317620797815e-11,0.28501896413614475,0.39670570971615465,0.0,0.0,5.0,2.0,0.2846455292324687,0.0,6.035127847400901e-23,0.1265253888819243,0.9809499000352511,0.0,1.0,6.0,3.0,6.0,3.0,1.3649143436448925,1.0
5.0,0.75,-0.8441267667773622,0.09907570953678607,0.08448573910649793,-0.00023119102598125908,8.67711519969501e-6,0.07227385789689178,-0.2250514295214554,4.42740746228515e-10,0.31046315662202506,0.4321203933280284,0.0,0.0,5.0,2.0,0.3100563844644617,0.0,1.2281861148053029e-22,0.13032720615948212,1.0104253461202497,0.0,1.0,6.0,3.0,6.0,3.0,1.4059270998980926,1.0
5.0,0.8,-0.8441267667773622,0.09907570953678607,0.08448573910649793,-0.00023119102598125908,8.67711519969501e-6,0.07227385789689178,-0.2250514295214554,1.7581958822877318e-9,0.32882511127688585,0.4576776129158904,0.0,0.0,5.0,2.0,0.32839428108939944,0.0,1.8711192357036314e-22,0.1326335229618966,1.0283061940415263,0.0,1.0,6.0,3.0,6.0,3.0,1.4308068881557863,1.0
5.0,0.85,-0.8441267667773622,0.09907570953678607,0.08448573910649793,-0.00023119102598125908,8.67711519969501e-6,0.07227385789689178,-0.2250514295214554,1.0171625445337426e-6,0.42860947908790464,0.5965632080236584,0.0,0.0,5.0,2.0,0.42804791035151213,0.0,2.761893289316451e-22,0.13480294027559642,1.0451256617848312,0.0,1.0,6.0,3.0,6.0,3.0,1.454209849687752,1.0
5.0,0.9,-0.8441267667773622,0.09907570953678607,0.08448573910649793,-0.00023119102598125908,8.67711519969501e-6,0.07227385789689178,-0.2250514295214554,6.761276393791259e-5,0.5105109190143843,0.7105583204235801,0.0,0.0,5.0,2.0,0.5098420421329967,1.0,5.498756830003192e-22,0.13872671393900163,1.0755466343413376,0.0,1.0,6.0,3.0,6.0,3.0,1.4965382313803457,1.0
5.0,0.95,-0.8441267667773622,0.09907570953678607,0.08448573910649793,-0.00023119102598125908,8.67711519969501e-6,0.07227385789689178,-0.2250514295214554,0.026663613334787457,0.6548881495269783,0.9115108144828626,0.0,0.0,5.0,2.0,0.6540301080497088,1.0,1.2504001958302315e-21,0.14355757737996142,1.1130002636197727,0.0,1.0,6.0,3.0,6.0,3.0,1.5486519997000703,1.0
