seed,alpha,VE,mv_energy_volume,mv_vfe_volume,mv_vfe_cov,mm_energy_volume,mm_vfe_volume,mm_vfe_cov,cb_energy_volume,cb_vfe_volume,cb_vfe_cov,cw_energy_volume,cw_vfe_volume,cw_vfe_cov
8.0,0.4,-0.19823987574462087,0.007577200265546781,1.3362608844422543,1.0,0.0024046510673250508,0.7527710450305974,1.0,0.011247189237804558,1.8088875285657904,1.0,0.002567791209668273,0.7470862781319636,1.0
8.0,0.45,-0.19823987574462087,0.008408167097747757,1.4076268421079245,1.0,0.0029541113617787954,0.834353907759526,1.0,0.011963598190287127,1.8409367616964425,1.0,0.0030491064362609542,0.8308943822556385,1.0
8.0,0.5,-0.19823987574462087,0.009761867333781427,1.5167127005303627,1.0,0.004631514930630418,1.0447163873214806,1.0,0.01313276275892274,1.8737168349478324,1.0,0.004570591460275264,1.104962213625598,1.0
8.0,0.55,-0.19823987574462087,0.011922293070854042,1.6761650062070603,1.0,0.0062356328824911865,1.2122079896837652,1.0,0.014615004203201259,1.9415357729296698,1.0,0.005408364075992017,1.2152371224458027,1.0
8.0,0.6,-0.19823987574462087,0.014303325015802107,1.8359268632820298,1.0,0.007744100778431247,1.3508974157331117,1.0,0.016499391445185783,2.152567431976241,1.0,0.006780420323405718,1.3567737028997695,1.0
8.0,0.65,-0.19823987574462087,0.016412358507012757,1.966628689138031,1.0,0.009686803377122254,1.5108700598983513,1.0,0.018387976757641988,2.17381384584898,1.0,0.008587732861795499,1.5384943046078887,1.0
8.0,0.7,-0.19823987574462087,0.018937096860569744,2.1124847045108126,1.0,0.013671483843596703,1.79491835876633,1.0,0.021193484986086662,2.232234174256304,1.0,0.011247189237804558,1.8088875285657904,1.0
8.0,0.75,-0.19823987574462087,0.021819911602403527,2.2675839075789925,1.0,0.015463745554472191,1.9089485365203374,1.0,0.023530781293197432,2.2889919093874225,1.0,0.01313276275892274,1.8737168349478324,1.0
8.0,0.8,-0.19823987574462087,0.023473648863162347,2.351945071219014,1.0,0.017693617075983128,2.0419503822877156,1.0,0.027573588948331382,2.488972079954898,1.0,0.016499391445185783,2.152567431976241,1.0
8.0,0.85,-0.19823987574462087,0.028465466595861785,2.5899777094137466,1.0,0.020840305692438662,2.216097763110273,1.0,0.03286574432848318,2.7018531660715337,1.0,0.021193484986086662,2.232234174256304,1.0
8.0,0.9,-0.19823987574462087,0.033557005657902525,2.8120851915838334,1.0,0.021543890540475966,2.253195835001789,1.0,0.045911432711048715,3.3197427953168517,1.0,0.027573588948331382,2.488972079954898,1.0
8.0,0.95,-0.19823987574462087,0.048215558785352206,3.370780516614305,1.0,0.02687222507538341,2.51645220959787,1.0,0.06760822408221269,3.946092130179753,1.0,0.045911432711048715,3.3197427953168517,1.0
11.0,0.4,-0.1587835739283765,0.0017784132812810008,0.22128712180430873,0.0,0.00082452412448148,0.15067509610012728,0.0,0.002772503022433813,0.30681849122213267,0.0,0.0006650547957820775,0.1654365086102677,0.0
11.0,0.45,-0.1587835739283765,0.0020573535599133206,0.23800948236008887,0.0,0.0009485948679978679,0.1616144464257651,0.0,0.002897566263800871,0.3089298108266751,0.0,0.0008727267919951875,0.18253673121948502,0.0
11.0,0.5,-0.1587835739283765,0.002447861582045719,0.2596170565819699,0.0,0.0010405045550182916,0.16926290353574652,0.0,0.0031061575966822913,0.311777255465598,0.0,0.001059769822979246,0.19159981348043628,0.0
11.0,0.55,-0.1587835739283765,0.0028375250245083316,0.27951791219207167,0.0,0.001212260609663165,0.18269968159562533,0.0,0.003342076296447654,0.318907967473823,1.0,0.0013657157082872032,0.2026871008585778,0.0
